STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,GEO_AREA,Geographical area,AGE,Age,SEX,Sex,EDUCATION_LEVEL,Education level,INCOME_GROUP,Income group,EMP_STATUS,Employment status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,UNIT_MULT,Unit multiplier,TIME_HORIZON_USE,Time horizon,DECIMALS,Decimals,BREAKDOWN_V7_HH,V7 Breakdowns households
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2B_I,"Individuals who have purchased online clothing, footwear, sporting goods - last 12 m",PT_POP,Percentage of population,_Z,Not applicable,Y55T74,From 55 to 74 years,F,Female,_T,Total,_T,Total,_T,Total,2021,,35.4163,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,F_Y55_74,Female aged 55-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2B1_I,Individuals who have purchased online: sporting goods (excluding sport clothing) - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y25T54,From 25 to 54 years,F,Female,_T,Total,_T,Total,_T,Total,2021,,20.0229,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,F_Y25_54,Female aged 25-54
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2B1_I,Individuals who have purchased online: sporting goods (excluding sport clothing) - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,F,Female,_T,Total,_T,Total,_T,Total,2021,,20.5645,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,F_Y16_24,Female aged 16-24
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2K1_I,"Individuals who have purchased online: films or series as DVDs, Blu-ray etc. - last 12 m",PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,F,Female,_T,Total,_T,Total,_T,Total,2021,,7.7707,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,F_Y16_24,Female aged 16-24
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2K1_I,"Individuals who have purchased online: films or series as DVDs, Blu-ray etc. - last 12 m",PT_POP,Percentage of population,_Z,Not applicable,Y25T54,From 25 to 54 years,F,Female,_T,Total,_T,Total,_T,Total,2021,,8.6393,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,F_Y25_54,Female aged 25-54
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2K2_I,"Individuals who have purchased online: music as CDs, vinyls etc. - last 12 m",PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,F,Female,_T,Total,_T,Total,_T,Total,2021,,7.7791,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,F_Y16_24,Female aged 16-24
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2N1_I,Individuals who have purchased online tickets to cultural or other events - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y55T74,From 55 to 74 years,M,Male,_T,Total,_T,Total,_T,Total,2021,,3.0172999999999996,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,M_Y55_74,Male aged 55-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2DBIS_I,"Individuals who have purchased online computer games or video games, and computer software - last 12 m",PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,F,Female,_T,Total,_T,Total,_T,Total,2021,,6.726799999999999,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,F_Y16_24,Female aged 16-24
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2H4_I,Individuals who have purchased online: cleaning products or personal hygiene products - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y25T54,From 25 to 54 years,F,Female,_T,Total,_T,Total,_T,Total,2021,,11.4335,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,F_Y25_54,Female aged 25-54
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2B_I,"Individuals who have purchased online clothing, footwear, sporting goods - last 12 m",PT_POP,Percentage of population,_Z,Not applicable,Y25T54,From 25 to 54 years,F,Female,_T,Total,_T,Total,_T,Total,2021,,65.7856,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,F_Y25_54,Female aged 25-54
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2J_I,Individuals who have purchased online medicine - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y55T74,From 55 to 74 years,F,Female,_T,Total,_T,Total,_T,Total,2021,,15.246799999999999,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,F_Y55_74,Female aged 55-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2K1_I,"Individuals who have purchased online: films or series as DVDs, Blu-ray etc. - last 12 m",PT_POP,Percentage of population,_Z,Not applicable,Y55T74,From 55 to 74 years,M,Male,_T,Total,_T,Total,_T,Total,2021,,4.7723,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,M_Y55_74,Male aged 55-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2C_I,Individuals who have purchased online computer equipment - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y25T54,From 25 to 54 years,M,Male,_T,Total,_T,Total,_T,Total,2021,,20.5817,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,M_Y25_54,Male aged 25-54
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2M_I,Individuals who have purchased online photographic/telecommunic./optical equipm. - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y55T74,From 55 to 74 years,F,Female,_T,Total,_T,Total,_T,Total,2021,,4.703,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,F_Y55_74,Female aged 55-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2K2_I,"Individuals who have purchased online: music as CDs, vinyls etc. - last 12 m",PT_POP,Percentage of population,_Z,Not applicable,Y25T54,From 25 to 54 years,M,Male,_T,Total,_T,Total,_T,Total,2021,,8.433499999999999,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,M_Y25_54,Male aged 25-54
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2J_I,Individuals who have purchased online medicine - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y25T54,From 25 to 54 years,F,Female,_T,Total,_T,Total,_T,Total,2021,,22.7016,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,F_Y25_54,Female aged 25-54
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G2C_I,Individuals who have purchased online computer equipment - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,M,Male,_T,Total,_T,Total,_T,Total,2021,,22.3542,,B,Time series break,D,Definition differs,,,0,Units,,,2,Two,M_Y16_24,Male aged 16-24
