REF_AREA,MEASURE,UNIT_MEASURE,AGE,SEX,EDUCATION_LEVEL,INCOME_GROUP,EMP_STATUS,TIME_PERIOD,OBS_VALUE,BREAKDOWN_V7_HH,V7 Breakdowns households
FRA,I7C_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,75.12339999999999,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1H_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,72.6076,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G1_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,92.1109,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1O_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,17.2349,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1M_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,23.9973,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,I9_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,27.0924,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F1_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,82.8437,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,H1A_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,82.63390000000001,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F2C_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,42.714400000000005,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1U_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,33.4603,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F4J_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,1.6139,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,I7D_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,25.185,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1G_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,73.158,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,H1H_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,73.4824,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,H1G_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,86.38470000000001,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F1A_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,63.8822,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,H1D_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,67.8785,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F1B_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,59.7217,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1E_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,82.01570000000001,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,I8_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,44.7278,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1F_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,82.8053,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F4I_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,1.3598,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F4G_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,1.1835,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1M_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,16.5715,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,C5B1_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,95.9081,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,C5A_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,98.7529,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1O_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,15.863,I_HI,Individuals aged 16-74 with a high level of educational attainment
